Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Berechnete Auflösungen;∅ Anrainer DE/LU [€/MWh] Berechnete Auflösungen;Belgien [€/MWh] Berechnete Auflösungen;Dänemark 1 [€/MWh] Berechnete Auflösungen;Dänemark 2 [€/MWh] Berechnete Auflösungen;Frankreich [€/MWh] Berechnete Auflösungen;Niederlande [€/MWh] Berechnete Auflösungen;Norwegen 2 [€/MWh] Berechnete Auflösungen;Österreich [€/MWh] Berechnete Auflösungen;Polen [€/MWh] Berechnete Auflösungen;Schweden 4 [€/MWh] Berechnete Auflösungen;Schweiz [€/MWh] Berechnete Auflösungen;Tschechien [€/MWh] Berechnete Auflösungen;DE/AT/LU [€/MWh] Berechnete Auflösungen;Italien (Nord) [€/MWh] Berechnete Auflösungen;Slowenien [€/MWh] Berechnete Auflösungen;Ungarn [€/MWh] Berechnete Auflösungen
01.03.2025 00:00;01.03.2025 01:00;128,19;112,38;125,56;128,19;128,20;118,24;126,47;43,96;128,95;128,34;46,88;132,99;128,39;-;129,18;129,18;129,28
01.03.2025 01:00;01.03.2025 02:00;120,38;106,03;118,93;120,38;120,38;114,86;119,47;43,73;120,77;120,48;43,09;123,69;120,52;-;124,78;120,83;120,66
01.03.2025 02:00;01.03.2025 03:00;117,09;103,83;116,34;117,09;117,09;114,23;116,61;43,64;117,29;117,15;42,93;122,58;117,16;-;121,59;117,33;117,24
01.03.2025 03:00;01.03.2025 04:00;112,15;98,54;108,45;112,15;112,15;98,07;109,90;43,52;113,16;112,42;42,56;119,07;112,50;-;121,60;113,32;112,87
01.03.2025 04:00;01.03.2025 05:00;109,75;97,22;107,08;109,75;109,75;99,60;108,05;43,52;110,47;109,94;42,32;118,98;110,00;-;120,00;110,59;110,27
01.03.2025 05:00;01.03.2025 06:00;114,38;99,74;110,27;111,88;111,89;98,93;111,88;43,67;115,50;114,68;44,10;119,54;114,77;-;122,40;115,68;115,18
01.03.2025 06:00;01.03.2025 07:00;118,86;105,88;116,02;117,10;117,11;108,15;117,10;43,86;128,97;120,75;46,89;128,33;120,42;-;134,14;126,96;132,25
01.03.2025 07:00;01.03.2025 08:00;135,79;118,69;132,76;133,82;135,81;124,48;133,82;44,62;138,04;136,23;51,28;138,53;136,23;-;138,04;138,04;139,17
01.03.2025 08:00;01.03.2025 09:00;138,79;121,99;134,79;138,30;138,82;123,85;136,25;46,95;139,99;139,12;66,64;138,00;139,21;-;140,00;140,08;139,60
01.03.2025 09:00;01.03.2025 10:00;137,74;120,06;131,22;137,74;137,77;113,39;133,48;47,33;139,59;138,28;67,17;136,24;138,43;-;139,86;139,86;139,07
01.03.2025 10:00;01.03.2025 11:00;125,08;106,45;116,10;125,08;125,08;91,10;119,44;46,68;127,70;125,81;47,83;120,15;126,03;-;128,00;128,00;126,92
01.03.2025 11:00;01.03.2025 12:00;112,11;96,31;103,32;112,11;112,10;78,71;106,43;43,97;114,67;119,98;37,64;117,39;113,04;-;124,58;114,97;113,91
01.03.2025 12:00;01.03.2025 13:00;102,21;90,79;96,65;98,63;102,21;80,88;98,63;43,69;103,83;120,50;38,98;111,90;102,80;-;112,80;104,02;103,35
01.03.2025 13:00;01.03.2025 14:00;97,27;85,46;88,05;91,45;97,27;61,79;91,41;43,26;99,96;130,07;33,48;105,08;98,25;-;105,09;100,27;99,16
01.03.2025 14:00;01.03.2025 15:00;99,39;83,85;83,50;89,10;99,39;38,14;89,10;43,07;104,02;128,13;37,43;109,38;101,07;-;112,54;104,56;102,65
01.03.2025 15:00;01.03.2025 16:00;109,23;87,66;89,07;97,50;97,80;31,73;96,40;43,05;122,63;121,52;34,70;117,91;111,95;-;125,92;124,46;132,68
01.03.2025 16:00;01.03.2025 17:00;125,41;101,19;106,42;120,18;125,41;52,04;113,54;43,13;135,01;123,28;40,04;131,14;122,91;-;136,00;146,33;181,76
01.03.2025 17:00;01.03.2025 18:00;145,00;117,06;128,60;133,86;145,00;80,77;134,81;43,71;159,27;138,06;43,47;143,03;137,13;-;145,56;182,05;254,50
01.03.2025 18:00;01.03.2025 19:00;158,55;128,80;136,71;152,00;158,55;119,02;152,00;43,49;161,46;150,14;43,22;151,52;148,67;-;148,85;181,48;252,23
01.03.2025 19:00;01.03.2025 20:00;150,78;125,72;138,25;146,76;150,78;128,40;146,76;43,34;155,07;143,42;38,00;149,90;142,21;-;148,90;173,20;236,00
01.03.2025 20:00;01.03.2025 21:00;137,29;116,10;131,56;133,41;133,41;115,05;133,41;43,27;143,00;134,17;36,03;140,01;133,83;-;144,00;152,66;183,07
01.03.2025 21:00;01.03.2025 22:00;128,60;108,22;123,76;125,43;125,42;110,27;125,43;43,48;131,66;127,42;17,88;132,26;127,36;-;136,00;136,00;149,65
